"UF";"Município";"Ano";"Transferência";"Valor Consolidado";"Código IBGE";"Código SIAFI"
"AC";"Acrelândia";"1999";"FPM";"R$833.711,05";"1200013";"643"
"AC";"Acrelândia";"2000";"FPM";"R$932.751,44";"1200013";"643"
"AC";"Acrelândia";"2001";"FPM";"R$1.063.924,65";"1200013";"643"
"AC";"Acrelândia";"2002";"FPM";"R$1.284.494,26";"1200013";"643"
"AC";"Acrelândia";"2003";"FPM";"R$1.329.613,99";"1200013";"643"
"AC";"Assis Brasil";"1999";"FPM";"R$833.711,05";"1200054";"157"
"AC";"Assis Brasil";"2000";"FPM";"R$932.751,44";"1200054";"157"
"AC";"Assis Brasil";"2001";"FPM";"R$1.063.924,65";"1200054";"157"
"AC";"Assis Brasil";"2002";"FPM";"R$1.284.494,26";"1200054";"157"
"AC";"Assis Brasil";"2003";"FPM";"R$1.329.613,99";"1200054";"157"
"AC";"Brasiléia";"1999";"FPM";"R$1.764.950,72";"1200104";"105"
"AC";"Brasiléia";"2000";"FPM";"R$1.802.872,11";"1200104";"105"
"AC";"Brasiléia";"2001";"FPM";"R$2.151.516,03";"1200104";"105"
"AC";"Brasiléia";"2002";"FPM";"R$2.703.535,03";"1200104";"105"
"AC";"Brasiléia";"2003";"FPM";"R$2.769.925,97";"1200104";"105"
"AC";"Bujari";"1999";"FPM";"R$833.711,05";"1200138";"645"
"AC";"Bujari";"2000";"FPM";"R$932.751,44";"1200138";"645"
"AC";"Bujari";"2001";"FPM";"R$1.063.924,65";"1200138";"645"
"AC";"Bujari";"2002";"FPM";"R$1.284.494,26";"1200138";"645"
"AC";"Bujari";"2003";"FPM";"R$1.329.613,99";"1200138";"645"
"AC";"Capixaba";"1999";"FPM";"R$833.711,05";"1200179";"647"
"AC";"Capixaba";"2000";"FPM";"R$932.751,44";"1200179";"647"
"AC";"Capixaba";"2001";"FPM";"R$1.063.924,65";"1200179";"647"
"AC";"Capixaba";"2002";"FPM";"R$1.284.494,26";"1200179";"647"
"AC";"Capixaba";"2003";"FPM";"R$1.329.613,99";"1200179";"647"
"AC";"Cruzeiro do Sul";"1999";"FPM";"R$3.369.450,68";"1200203";"107"
"AC";"Cruzeiro do Sul";"2000";"FPM";"R$3.663.900,59";"1200203";"107"
"AC";"Cruzeiro do Sul";"2001";"FPM";"R$4.243.074,75";"1200203";"107"
"AC";"Cruzeiro do Sul";"2002";"FPM";"R$5.161.857,38";"1200203";"107"
"AC";"Cruzeiro do Sul";"2003";"FPM";"R$5.761.122,14";"1200203";"107"
"AC";"Epitaciolândia";"1999";"FPM";"R$833.711,05";"1200252";"651"
"AC";"Epitaciolândia";"2000";"FPM";"R$1.243.668,37";"1200252";"651"
"AC";"Epitaciolândia";"2001";"FPM";"R$1.418.565,96";"1200252";"651"
"AC";"Epitaciolândia";"2002";"FPM";"R$1.712.658,88";"1200252";"651"
"AC";"Epitaciolândia";"2003";"FPM";"R$1.772.818,52";"1200252";"651"
"AC";"Feijó";"1999";"FPM";"R$1.945.325,25";"1200302";"113"
"AC";"Feijó";"2000";"FPM";"R$2.176.419,44";"1200302";"113"
"AC";"Feijó";"2001";"FPM";"R$2.482.490,41";"1200302";"113"
"AC";"Feijó";"2002";"FPM";"R$2.997.152,57";"1200302";"113"
"AC";"Feijó";"2003";"FPM";"R$3.102.432,00";"1200302";"113"
"AC";"Jordão";"1999";"FPM";"R$833.711,05";"1200328";"653"
"AC";"Jordão";"2000";"FPM";"R$932.751,44";"1200328";"653"
"AC";"Jordão";"2001";"FPM";"R$1.063.924,65";"1200328";"653"
"AC";"Jordão";"2002";"FPM";"R$1.284.494,26";"1200328";"653"
"AC";"Jordão";"2003";"FPM";"R$1.329.613,99";"1200328";"653"
"AC";"Mâncio Lima";"1999";"FPM";"R$833.711,05";"1200336";"109"
"AC";"Mâncio Lima";"2000";"FPM";"R$932.751,44";"1200336";"109"
"AC";"Mâncio Lima";"2001";"FPM";"R$1.233.751,48";"1200336";"109"
"AC";"Mâncio Lima";"2002";"FPM";"R$1.711.674,01";"1200336";"109"
"AC";"Mâncio Lima";"2003";"FPM";"R$1.772.491,37";"1200336";"109"
"AC";"Manoel Urbano";"1999";"FPM";"R$833.711,05";"1200344";"155"
"AC";"Manoel Urbano";"2000";"FPM";"R$932.751,44";"1200344";"155"
"AC";"Manoel Urbano";"2001";"FPM";"R$1.063.924,65";"1200344";"155"
"AC";"Manoel Urbano";"2002";"FPM";"R$1.284.494,26";"1200344";"155"
"AC";"Manoel Urbano";"2003";"FPM";"R$1.329.613,99";"1200344";"155"
